,key,value
720,MOCA,Minimum obstacle clearance altitude
721,MOD,Moderate
722,MOD,Moderate phenomena interference or static report eg MODRA
723,MOD,Moderate phenomena interference or static report eg MODRA MODRAmoderate rain
724,MON,Above mountains
725,MON,Monday
726,MOPS,Minimum operational performance standards
727,MOTNE*,Meteorological Operational Telecommunications
728,MOTNE*,Meteorological Operational Telecommunications Network Europe
729,MOV,Move or moving or movement
730,MPH*,Statute miles per hour
731,MPS,Meters per second
732,MRA,Minimum reception altitude
733,MRG,Medium range
734,MRP,ATSMET reporting point
735,MS,Minus
736,MSA,Minimum sector altitude
737,MSAL*,Minimum safe altitude
738,MSAS,Multifunctional transport satellite
739,MSAS,Multifunctional transport satellite satellitebased augmentation system
740,MSAS,Multifunctional transport satellite satellitebased augmentation system pronouncedEMSAS
741,MSAW,Minimum safe altitude warning
742,MSG,Message
743,MSH,Middle latitudes southern hemisphere
744,MSL,Mean sea level
745,MSR,Message has been
746,MSR,Message has been misrouted
747,MSSR,Monopulse secondary surveillance radar
748,MT,Mountain
749,MTOM,Maximum takeoff mass
750,MTOW*,Maximum takeoff weight
751,MTU,Metric units
752,MTW,Mountain waves
753,MTWA*,Maximum total weight authorized
754,MVDF,Medium and very high frequency directionfinding
755,MVDF,Medium and very high frequency directionfinding stations
756,MWO,Meteorological watch office
757,MX,Mixed type of ice formation
758,N,No distinct tendency
759,N,No distinct tendency minutes
760,N,North or northern latitude
761,NADP,Noise abatement departure procedure
762,NAIP*,National aeronautical information publication
763,NASC,National AIS system centre
764,NAT,North Atlantic
765,NAV,Navigation
766,NAVAID,Navigation aid
767,NB,Northbound
768,NBFR,Not before
769,NC,No change
770,NCD,No cloud detected
771,NDB,Nondirectional radio beacon
772,NDV,No directional variations available
773,NE,Northeast
774,NEB,Northeastbound
775,NEG,No or negative or permission not granted or that is not
776,NEG,No or negative or permission not granted or that is not correct
777,NGT,Night
778,NIL,None or I have nothing to send to you
779,NM,Nautical miles
780,NML,Normal
781,NN,No name unnamed
782,NNE,Northnortheast
783,NNW,Northnorthwest
784,NO,No
785,NOF,International NOTAM office
786,NONSTD,Nonstandard
787,NOSIG,No significant change
788,NOSIG,No significant change forecasts
789,NOTAM,Notice distributed by means of telecommunication
790,NOTAM,Notice distributed by means of telecommunication containing information concerning the
791,NOTAM,Notice distributed by means of telecommunication containing information concerning the establishment condition or change in any aeronautical
792,NOTAM,Notice distributed by means of telecommunication containing information concerning the establishment condition or change in any aeronautical facility service procedure or hazard the timely
793,NOTAM,Notice distributed by means of telecommunication containing information concerning the establishment condition or change in any aeronautical facility service procedure or hazard the timely knowledge of which is essential to personnel
794,NOTAM,Notice distributed by means of telecommunication containing information concerning the establishment condition or change in any aeronautical facility service procedure or hazard the timely knowledge of which is essential to personnel concerned with flight operations
795,NOTAMC,Cancelling NOTAM
796,NOTAMN,New NOTAM
797,NOTAMR,Replacing NOTAM
798,NOV,November
799,NOZ,Normal operating zone
800,NPA,Nonprecision approach
801,NR,Number
802,NRH,No reply heard
803,NS,Nimbostratus
804,NSC,Nil significant cloud
805,NSE,Navigation system error
806,NSW,Nil significant weather
807,NTL,National
808,NTZ,No transgression zone
809,NW,Northwest
810,NWB,Northwestbound
811,NXT,Next
812,OAC,Oceanic area control center
813,OAS,Obstacle assessment surface
814,OBS,Observe or observed or observation
815,OBSC,Obscure or obscured or obscuring
816,OBST,Obstacle
817,OCA,Obstacle clearance altitude
818,OCA,Oceanic control area
819,OCC,Occulting
820,OCH,Obstacle clearance height
821,OCL*,Obstacle clearance limit
822,OCNL,Occasional or occasionally
823,OCS,Obstacle clearance surface
824,OCT,October
825,OFZ,Obstacle free zone
826,OGN,Originate
827,OHD,Overhead
828,OIS,Obstacle identification surface
829,OK,We agree or It is correct
830,OK,We agree or It is correct procedure signal
831,OLDI,Online data interchange
832,OM,Outer marker
833,OPA,Opaque white type of ice formation
834,OPC,Control indicated is operational control
835,OPMET,Operational meteorological
836,OPN,Open or opening or opened
837,OPR,Operator or operate or operative or operating or
838,OPR,Operator or operate or operative or operating or operational
839,OPS,Operations
840,OR,On request
841,ORD,Order
842,OSV,Ocean station vessel
843,OTLK*,Outlook
844,OTLK*,Outlook and tropical cyclones
845,OTP,On top
846,OTS,Organized track system
847,OUBD,Outbound
848,OVC,Overcast
849,P,Maximum value of wind speed or runway visual
850,P,Maximum value of wind speed or runway visual range
851,P,Prohibited area
852,PA,Precision approach
853,PALS,Precision approach lighting system
854,PANS,Procedures for air navigation services
855,PAPI,Precision approach path indicator
856,PAR,Precision approach radar
857,PARL,Parallel
858,PATC,Precision approach terrain chart
859,PATC,Precision approach terrain chart nametitle
860,PAX,Passenger
861,PBC,Performancebased communication
862,PBN,Performancebased navigation
863,PBS,Performancebased surveillance
864,PCD,Proceed or proceeding
865,PCL,Pilotcontrolled lighting
866,PCN,Pavement classification number
867,PCT,Percent
868,PDC,Predeparture clearance
869,PDG,Procedure design gradient
870,PER,Performance
871,PERM,Permanent
872,PIB,Preflight information bulletin
873,PJE,Parachute jumping exercise
874,PL,Ice pellets
875,PLA,Practice low approach
876,PLN*,Flight plan
877,PLVL,Present level
878,PN,Prior notice required
879,PNR,Point of no return
880,PO,Dustsand whirls
881,POB,Persons on board
882,POSS,Possible
883,PPI,Plan position indicator
884,PPR,Prior permission required
885,PPSN,Present position
886,PRFG,Aerodrome partially covered by fog
887,PRI,Primary
888,PRKG,Parking
889,PROB,Probability
890,PROC,Procedure
891,PROP,Propeller
892,PROV,Provisional
893,PRP,Pointinspace reference point
894,PS,Plus
895,PSG,Passing
896,PSN,Position
897,PSP,Pierced steel plank
898,PSR,Primary surveillance radar
899,PSYS,Pressure system
900,PTN,Procedure turn
901,PTS,Polar track structure
902,PWR,Power
903,QDL,Do you intend to ask me for a series of bearings or
904,I,intend to ask you for a series of bearings
905,I,intend to ask you for a series of bearings in radiotelegraphy as a Q Code
906,QDM,Magnetic heading
907,QDR,Magnetic bearing
908,QFE,Atmospheric pressure at aerodrome elevation
909,QFE,Atmospheric pressure at aerodrome elevation runway threshold
910,QFU,Magnetic orientation of runways
911,QGE,What is my distance to your station or Your distance
912,QGE,What is my distance to your station or Your distance to my station is
913,QGE,What is my distance to your station or Your distance to my station is in radiotelegraphy as a Q Code
914,QJH,Shall I run my test tapea test sentence or Run your
915,QJH,Shall I run my test tapea test sentence or Run your test tapea test sentence
916,QJH,Shall I run my test tapea test sentence or Run your test tapea test sentence Code
917,QNE*,Indicated height on landing with altimeter subscale
918,QNE*,Indicated height on landing with altimeter subscale set to HPA
919,QNH,Altimeter subscale setting to obtain elevation when
920,QNH,Altimeter subscale setting to obtain elevation when on the ground
921,QSP,Will you relay tofree of charge or I will reply
922,QSP,Will you relay tofree of charge or I will reply tofree of charge Q
923,QTA,Shall I cancel telegram number or Cancel telegram
924,QTA,Shall I cancel telegram number or Cancel telegram number
925,QTE,True bearing
926,QTF,Will you give me the position of my station according
927,QTF,Will you give me the position of my station according to the bearings taken by the DF stations which you
928,QTF,Will you give me the position of my station according to the bearings taken by the DF stations which you control or The position of your station according to
929,QTF,Will you give me the position of my station according to the bearings taken by the DF stations which you control or The position of your station according to the bearings taken by the DF stations that I control
930,QTF,Will you give me the position of my station according to the bearings taken by the DF stations which you control or The position of your station according to the bearings taken by the DF stations that I control waslatitudelongitude
931,QTF,Will you give me the position of my station according to the bearings taken by the DF stations which you control or The position of your station according to the bearings taken by the DF stations that I control waslatitudelongitude position
932,QTF,Will you give me the position of my station according to the bearings taken by the DF stations which you control or The position of your station according to the bearings taken by the DF stations that I control waslatitudelongitude position radiotelegraphy as a Q Code
933,QUAD,Quadrant
934,QUJ,Will you indicate the TRUE track to reach you or
935,QUJ,Will you indicate the TRUE track to reach you or The TURE track to reach me isdegrees
936,QUJ,Will you indicate the TRUE track to reach you or The TURE track to reach me isdegrees athours
937,R,Rate of turn
938,R,Red
939,R,Received
940,AFS,as a procedure signal
941,R,Radial from VOR VOR
942,R,Runway
943,R,Restricted area
944,R,Right
945,R,Right identify a parallel runway
946,R*,Runway visual range
947,RA,Rain
948,RA,Resolution advisory
949,RAC,Rules of the air and air traffic services
950,RAD*,Radius
951,RAFC*,Regional area forecast center
952,RAG,Runway arresting gear
953,RAG,Ragged
954,RAI,Runway alignment indicator
955,RAIM,Receiver autonomous integrity monitoring
956,RASC,Regional AIS system center
957,RASS,Remote altimeter setting source
958,RB,Rescue boat
959,RCA,Reach cruising altitude
960,RCC,Rescue coordination centre
961,RCF,Radiocommunication failure
962,RCF,Radiocommunication failure designator
963,RCH,Reach or reaching
964,RCL,Runway centre line
965,RCLL,Runway centre line light
966,RCLM*,Runway center line mark
967,RCLR,Recleared
968,RCP,Required communication performance
969,RDH,Reference datum height
970,RDL,Radial
971,RDO,Radio
972,RDOACT,Radioactive
973,RE,Recent
974,RE,Recent RERArecent rain
975,REC,Receive or receiver
976,REDL,Runway edge light
977,REF,Reference to or refer to
978,REG,Registration
979,RENL,Runway end light
980,REP,Report or reporting or reporting point
981,REQ,Request or requested
982,RERTE,Reroute
983,RESA,Runway end safety area
984,RF,Constant radius arc to a fix
985,RFFS,Rescue and fire fighting services
986,RG,Range
987,RHC,Righthand circuit
988,RIF,Reclearance in flight
989,RIME,Rime
990,RITE*,Right
991,RL,Report leaving
992,RLA,Relay to
993,RLCE,Request level change enroute
994,RLLS,Runway leadin lighting system
995,RLNA,Requested level not available
996,RMAC*,Radar minimum altitude chart
997,RMK,Remark
998,RNAV,Area navigation
999,RNG,Radio range
1000,RNP,Required navigation performance
1001,ROBEX,Regional OPMET bulletin exchange
1002,ROC,Rate of climb
1003,ROD,Rate of descent
1004,ROFOR*,Route forecast
1005,RON,Receiving only
1006,RPDS,Reference path data selector
1007,RPI,Radar position indicator
1008,RPL,Repetitive flight plan
1009,RPLC,Relpace or replaced
1010,RPS,Radar position symbol
1011,RPT,Repeat or I repeat
1012,RPT,Repeat or I repeat signal
1013,RQ,Request
1014,RQMNTS,Requirements
1015,RQP,Request flight plan
1016,RQS,Request supplementary flight plan
1017,RQS,Request supplementary flight plan indicator
1018,RR,Report reaching
1019,RRA,Delayed
1020,RRA,Delayed meteorological message
1021,RSC,Rescue subcentre
1022,RSCD,Runway surface condition
1023,RSP,Responder beacon
1024,RSR,Enroute surveillance radar
1025,RSS,Root sum square
1026,RTD,Delayed
1027,RTD,Delayed message message type designator
1028,RTE,Route
1029,RTF,Radiotelephone
1030,RTG,Radiotelegraph
1031,RTHL,Runway threshold light
1032,RTN,Return or returned or returning
1033,RTODAH,Rejected takeoff distance available helicopter
1034,RTS,Return to service
1035,RTT,Radioteletypewriter
1036,RTZL,Runway touchdown zone light
1037,RUT,Standard regional route transmitting frequencies
1038,RV,Rescue vessel
1039,RVA,Radar vectoring area
1040,RVR,Runway visual range
1041,RVSM,Reduced vertical separation minimum
1042,RVSM,Reduced vertical separation minimum between FL and FL
1043,RWY,Runway
1044,RYT*,Refer your telegram
1045,S,State of the sea
1046,S,South or southern latitude
1047,SA,Sand
1048,SALS,Simple approach lighting system
1049,SAN,Sanitary
1050,SAP*,As soon as possible
1051,SAR,Search and rescue
1052,SAT,Saturday
1053,SATCOM,Satellite communication
1054,SATCOM,Satellite communication generally to both voice and data satellite
1055,SATCOM,Satellite communication generally to both voice and data satellite communication or only data satellite communication
1056,SATVOICE,Satellite voice communication
1057,SB,Southbound
1058,SBAS,Satellitebased augmentation system
1059,SBAS,Satellitebased augmentation system pronouncedESSBAS
1060,SC,Stratocumulus
1061,SCT,Scattered
1062,SD,Standard deviation
1063,SDBY,Stand by
1064,SDF,Step down fix
1065,SE,Southeast
1066,SEA,Sea
1067,SEA,Sea and state of the sea
1068,SEB,Southeastbound
1069,SEC,Seconds
1070,SECN,Section
1071,SECT,Sector
1072,SELCAL,Selectivc calling system
1073,SEP,September
1074,SER,Service or servicing or served
1075,SEV,Severe
1076,SFC,Surface
1077,SFL*,Sequenced flashing lights
1078,SG,Snow grains
1079,SGL,Signal
1080,SH,Showers PL
1081,GR,pellets GRhail GSsmall hail andor snow pellets GS
1082,GR,pellets GRhail GSsmall hail andor snow pellets GS or combinations thereof eg SHRASNshowers of
1083,SHRASN,rain and snow
1084,SHF,Super high frequency
1085,SI,International system of units
1086,SID,Standard instrument departure
1087,SIF,Selective identification feature
1088,SIG,Significant
1089,SIGMET,Information concerning enroute weather and other
1090,SIGMET,Information concerning enroute weather and other phenomena in the atmosphere that may affect the
1091,SIGMET,Information concerning enroute weather and other phenomena in the atmosphere that may affect the safety of aircraft operations
1092,SIMUL,Simultaneous or simultaneously
1093,SIWL,Single isolated wheel load
1094,SKC*,Sky clear
1095,SKED,Schedule or scheduled
1096,SLP,Speed limiting point
1097,SLW,Slow
1098,SMC,Surface movement control
1099,SMR,Surface movement radar
1100,SN,Snow
1101,SNOCLO,Aerodrome closed due to snow
1102,SNOWTAM,Special series NOTAM notifying the presence or
1103,SNOWTAM,Special series NOTAM notifying the presence or removal of hazardous conditions due to snow ice
1104,SNOWTAM,Special series NOTAM notifying the presence or removal of hazardous conditions due to snow ice slush or standing water associated with snow slush
1105,SNOWTAM,Special series NOTAM notifying the presence or removal of hazardous conditions due to snow ice slush or standing water associated with snow slush and ice on the movement area by means of a specific
1106,SNOWTAM,Special series NOTAM notifying the presence or removal of hazardous conditions due to snow ice slush or standing water associated with snow slush and ice on the movement area by means of a specific format
1107,SOC,Start of climb
1108,SPECI,Aerodrome special meteorological report
1109,SPECI,Aerodrome special meteorological report meteorological code
1110,SPECIAL,Local special meteorological report
1111,SPECIAL,Local special meteorological report plain language
1112,SPI,Special position indicator
1113,SPL,Supplementary flight plan
1114,SPOC,SAR point of contact
1115,SPOT,Spot wind
1116,SQ,Squall
1117,SQL,Squall line
1118,SR,Sunrise
1119,SRA,Surveillance radar approach
1120,SRE,Surveillance radar element of precision approach
1121,SRE,Surveillance radar element of precision approach radar system
1122,SRG,Short range
1123,SRR,Search and rescue region
1124,SRY,Secondary
1125,SS,Sandstorm
1126,SS,Sunset
1127,SSB,Single sideband
1128,SSE,Southsoutheast
1129,SSR,Secondary surveillance radar
1130,SST,Supersonic transport
1131,SSW,Southsouthwest
1132,ST,Stratus
1133,STA,Straightin approach
1134,STAR,Standard instrument arrival
1135,STD,Standard
1136,STF,Stratiform
1137,STN,Station
1138,STNR,Stationary
1139,STOL,Short takeoff and landing
1140,STS,Status
1141,STWL,Stopway light
1142,SUBJ,Subject to
1143,SUN,Sunday
1144,SUP,Supplement
1145,SUPPS,Regional supplementary procedures
1146,SVC,Service
1147,SVCBL,Serviceable
1148,SW,Southwest
1149,SWB,Southwestbound
1150,SWX,Space weather
1151,SWXC,Space weather centre
1152,SWY,Stopway
1153,T,Temperature
1154,T,True
1155,T,True True North
1156,TA,Traffic advisory
1157,TA,Transition altitude
1158,TAA,Terminal arrival altitude
1159,TACAN,UHF tactical air navigation aid
1160,TAF,Aerodrome forecast
1161,TAH,Turn at an altitudeheight
1162,TAIL,Tail wind
1163,TAR,Terminal area surveillance radar
1164,TAS,True airspeed
1165,TAX,Taxiing or taxi
1166,TC,Tropical cyclone
1167,TCAC,Tropical cyclone advisory centre
1168,TCAS,RA Traffic alert and collision avoidance system resolution
1169,TCAS,RA Traffic alert and collision avoidance system resolution advisory “TEECASARAY”
1170,TCH,Threshold crossing height
1171,TCU,Towering cumulus
1172,TDO,Tornado
1173,TDZ,Touchdown zone
1174,TECR,Technical reason
1175,TEL,Telephone
1176,TEMPO,Temporary or temporarily
1177,TF,Track to fix
1178,TFC,Traffic
1179,TGL,Touchandgo landing
1180,TGS,Taxiing guidance system
1181,TH*,Transition height
1182,THR,Threshold
1183,THRU,Through
1184,THU,Thursday
1185,TIBA,Traffic information broadcast by aircraft
1186,TIL,Until
1187,TIP,Until past
1188,TKOF,Takeoff
1189,TL,Till
1190,TL,Till forecast to end
1191,TL*,Transition level
1192,TLOF,Touchdown and liftoff area
1193,TMA,Terminal control area
1194,TN,Minimum temperature
1195,TNA,Turn altitude
1196,TNH,Turn height
1197,TO,To
1198,TOC,Top of climb
1199,TODA,Takeoff distance available
1200,TODAH,Takeoff distance available helicopter
1201,TOP,Cloud top
1202,TORA,Takeoff run available
1203,TOX,Toxic
1204,TP,Turning point
1205,TR,Track
1206,TRA,Temporary reserved airspace
1207,TRANS,Transmits or transmitter
1208,TREND,Trend forecast
1209,TRG,Training
1210,TRL,Transition level
1211,TROP,Tropopause
1212,TS,Thunderstorm PL
1213,GR,PLice pellets GRhail GSsmall hail andor snow GS
1214,GR,PLice pellets GRhail GSsmall hail andor snow GS pellets or combinations thereof eg TSRASN
1215,TSRASN,Thunderstorm with rain and snow
1216,TS,Thunderstorm
1217,TS,Thunderstorm used alone means thunder heard but no precipitation
1218,TS,Thunderstorm used alone means thunder heard but no precipitation at the aerodrome
1219,TSUNAMI,Tsunami
1220,TT,Teletypewriter
1221,TUE,Tuesday
1222,TURB,Turbulence
1223,TURB*,Turbine
1224,TVASIS,T visual approach slope indicator system
1225,TVASIS,T visual approach slope indicator system pronounced TEEVASIS
1226,TVOR,Terminal VOR
1227,TWR,Aerodrome control tower or aerodrome control
1228,TWY,Taxiway
1229,TWYL*,Taxiwaylink
1230,TX,Maximum temperature
1231,TX*,Indicator for maximum temperature
1232,TX*,Indicator for maximum temperature code form
1233,TXL,Taxilane
1234,TXT,Text
1235,TXT,Text repetition the question mark precedes the
1236,IMI,TXT
1237,IMI,TXT abbreviation eg IMI TXT
1238,IMI,TXT abbreviation eg IMI TXT procedure signal
1239,TYP,Type of aircraft
1240,TYPH,Typhoon
1241,U,Upward
1242,U,Upward minutes
1243,UA,Unmanned aircraft
1244,UAB,Until advised by
1245,UAC,Upper area control centre
1246,UAR,Upper air route
1247,UAS,Unmanned aircraft system
1248,UDF,Ultra high frequency directionfinding station
1249,UFN,Until further notice
1250,UHDT,Unable higher due traffic
1251,UHF,Ultra high frequency
1252,UIC,Upper information center
1253,UIR,Upper flight information region
1254,ULM,Ultra light motorized aircraft
1255,ULR,Ultra long range
1256,UNA,Unable
1257,UNAP,Unable to approve
1258,UNL,Unlimited
1259,UNREL,Unreliable
1260,UP,Unidentified precipitation
1261,US,Unserviceable
1262,UTA,Upper control area
1263,UTC,Coordinated Universal Time
1264,V,Variations from the mean wind direction
1265,V,Variations from the mean wind direction and followed by in METARSPECI eg V
1266,VA,Volcanic ash
1267,VA,Heading to an altitude
1268,VAAC,Volcanic ash advisory centre
1269,VAC,Visual approach chart
1270,VAL,In valleys
1271,VAN,Runway control van
1272,VAR,Visualaural radio range
1273,VAR,Magnetic variation
1274,VASIS,Visual approach slope indicator systems
1275,VC,Vicinity of the aerodrome
1276,FC,FCfunnel cloud SHshowers POdustsand whirls PO
1277,BLSN,BLDUblowing dust BLSAblowing sand
1278,BLSN,BLDUblowing dust BLSAblowing sand BLSNblowing snow DSduststorm SSsandstorm
1279,BLSN,BLDUblowing dust BLSAblowing sand BLSNblowing snow DSduststorm SSsandstorm TSthunderstorm or VAvolcanic ash eg
1280,BLSN,BLDUblowing dust BLSAblowing sand BLSNblowing snow DSduststorm SSsandstorm TSthunderstorm or VAvolcanic ash eg VCFGvicinity fog
1281,VCY,Vicinity
1282,VDF,Very high frequency directionfinding station
1283,VER,Vertical
1284,VFR,Visual flight rules
1285,VHF,Very high frequency
1286,VI,Heading to an intercept
1287,VIP,Very important person
1288,VIS,Visibility
1289,VLF,Very low frequency
1290,VLR,Very long range
1291,VM,Heading to a manual termination
1292,VMC,Visual meteorological conditions
1293,VNAV,Vertical navigation
1294,VOL,Volume
1295,VOLMET,Meteorological information for aircraft in flight
1296,VOR,VHF omnidirectional radio range
1297,VORTAC,VOR and TACAN combination
1298,VOT,VOR airborne equipment test facility
1299,VPA,Vertical path angle
1300,VPT,Visual manoeuvre with prescribed track
1301,VRB,Variable
1302,VSA,By visual reference to the ground
1303,VSP,Vertical speed
1304,VTF,Vector to final
1305,VTOL,Vertical takeoff and landing
1306,VV,Vertical visibility
1307,METARSPECI,and TAF
1308,W,White
1309,W,West or western longitude
1310,W,Seasurface temperature
1311,WAAS,Wide area augmentation system
1312,WAFC,World area forecast centre
1313,WB,Westbound
1314,WBAR,Wing bar lights
1315,WDI,Wind direction indicator
1316,WDSPR,Widespread
1317,WED,Wednesday
1318,WEF,With effect from or effective from
1319,WGS,World Geodetic System— —
1320,WI,Within
1321,WID,Width or wide
1322,WIE,With immediate effect or effective immediately
1323,WILCO,Will comply
1324,WIND,Wind
1325,WINTEM*,Forecast upper wind and temperature for aviation
1326,WIP,Work in progress
1327,WKN,Weaken or weakening
1328,WNW,Westnorthwest
1329,WO,Without
1330,WPT,Waypoint
1331,WRNG,Warning
1332,WS,Wind shear
1333,WSPD,Wind speed
1334,WSW,Westsouthwest
1335,WT,Weight
1336,WTSPT,Waterspout
1337,WWW,Worldwide web
1338,WX,Weather
1339,WXR,Weather radar
1340,X,Cross
1341,XBAR,Crossbar
1342,XNG,Crossing
1343,XS,Atmospherics
1344,Y,Yellow
1345,YCZ,Yellow caution zone
1346,YES,Yes
1347,YES,Yes signal
1348,YR,Your
1349,Z,Coordinated Universal Time
1350,Z,Coordinated Universal Time messages
